Occupation Title;Occupation Code;Occupation Type;2023 Employment;2023 Percent of Industry;2023 Percent of Occupation;Projected 2033 Employment;Projected 2033 Percent of Industry;Projected 2033 Percent of Occupation;Employment Change, 2023-2033;Employment Percent Change, 2023-2033;Occupation Sort;Display Level;source_file;Industry Title;Industry Code;Industry Type;Industry Sort
Broadcast announcers and radio disc jockeys;"=""27-3011""";Line Item;1.8;0.1;6.9;1.9;0.1;7.6;0.1;5.0;390.0;3;National_Employment_Matrix_IND_710000.csv;;;;
News analysts, reporters, and journalists;"=""27-3023""";Line Item;0.1;0.0;0.2;0.1;0.0;0.2;0.0;0.8;391.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Public relations specialists;"=""27-3031""";Line Item;9.4;0.4;3.0;10.2;0.4;3.1;0.8;8.6;392.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Writers and editors;"=""27-3040""";Summary;7.6;0.3;2.4;7.8;0.3;2.4;0.2;2.6;393.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Technical writers;"=""27-3042""";Line Item;0.4;0.0;0.8;0.4;0.0;0.8;0.0;-2.6;395.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Writers and authors;"=""27-3043""";Line Item;6.1;0.2;4.1;6.3;0.2;4.0;0.2;2.5;396.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous media and communication workers;"=""27-3090""";Summary;1.7;0.1;1.4;1.8;0.1;1.5;0.2;9.0;397.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Interpreters and translators;"=""27-3091""";Line Item;0.3;0.0;0.4;0.3;0.0;0.4;0.0;13.9;398.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Media and communication workers, all other;"=""27-3099""";Line Item;1.4;0.1;5.2;1.5;0.1;5.2;0.1;8.0;400.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Media and communication equipment workers;"=""27-4000""";Summary;24.2;1.0;6.1;25.1;0.9;6.1;0.9;3.8;401.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Broadcast, sound, and lighting technicians;"=""27-4010""";Summary;17.3;0.7;11.8;18.0;0.7;12.0;0.7;4.2;402.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Audio and video technicians;"=""27-4011""";Line Item;9.5;0.4;10.9;10.3;0.4;11.2;0.8;8.3;403.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Broadcast technicians;"=""27-4012""";Line Item;2.4;0.1;8.1;2.5;0.1;8.2;0.0;1.7;404.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Sound engineering technicians;"=""27-4014""";Line Item;2.2;0.1;12.3;2.3;0.1;12.7;0.1;2.6;405.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Lighting technicians;"=""27-4015""";Line Item;3.2;0.1;29.4;3.0;0.1;28.7;-0.2;-5.3;406.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Photographers;"=""27-4021""";Line Item;3.7;0.1;2.4;3.8;0.1;2.4;0.1;2.7;407.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Television, video, and film camera operators and editors;"=""27-4030""";Summary;2.7;0.1;3.1;2.8;0.1;3.1;0.1;2.8;408.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Camera operators, television, video, and film;"=""27-4031""";Line Item;1.2;0.0;3.1;1.2;0.0;3.0;0.0;1.2;409.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Film and video editors;"=""27-4032""";Line Item;1.5;0.1;3.2;1.6;0.1;3.2;0.1;3.9;410.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Media and communication equipment workers, all other;"=""27-4099""";Line Item;0.5;0.0;3.8;0.5;0.0;4.0;0.0;7.1;411.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Healthcare practitioners and technical occupations;"=""29-0000""";Summary;6.9;0.3;0.1;7.4;0.3;0.1;0.5;7.3;412.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Healthcare diagnosing or treating practitioners;"=""29-1000""";Summary;1.8;0.1;0.0;2.0;0.1;0.0;0.2;9.3;413.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Dietitians and nutritionists;"=""29-1031""";Line Item;0.6;0.0;0.7;0.6;0.0;0.7;0.1;9.5;421.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Therapists;"=""29-1120""";Summary;0.6;0.0;0.1;0.7;0.0;0.1;0.1;8.9;426.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Physical therapists;"=""29-1123""";Line Item;0.5;0.0;0.2;0.5;0.0;0.2;0.0;8.5;428.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Veterinarians;"=""29-1131""";Line Item;0.3;0.0;0.4;0.4;0.0;0.3;0.0;11.8;435.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Registered nurses;"=""29-1141""";Line Item;0.2;0.0;0.0;0.2;0.0;0.0;0.0;8.7;436.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Physicians;"=""29-1210""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.4;441.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Physicians, all other;"=""29-1229""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.3;454.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Health technologists and technicians;"=""29-2000""";Summary;2.5;0.1;0.1;2.6;0.1;0.1;0.2;6.5;464.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Emergency medical technicians and paramedics;"=""29-2040""";Summary;2.1;0.1;0.8;2.2;0.1;0.8;0.1;5.4;473.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Emergency medical technicians;"=""29-2042""";Line Item;1.7;0.1;1.0;1.8;0.1;1.0;0.1;5.3;474.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Paramedics;"=""29-2043""";Line Item;0.4;0.0;0.4;0.5;0.0;0.4;0.0;5.8;475.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Health practitioner support technologists and technicians;"=""29-2050""";Summary;0.3;0.0;0.0;0.4;0.0;0.0;0.0;13.4;476.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Veterinary technologists and technicians;"=""29-2056""";Line Item;0.2;0.0;0.2;0.2;0.0;0.2;0.0;14.4;481.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Other healthcare practitioners and technical occupations;"=""29-9000""";Summary;2.6;0.1;1.8;2.8;0.1;1.8;0.2;6.7;490.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous health practitioners and technical workers;"=""29-9090""";Summary;2.6;0.1;2.6;2.8;0.1;2.5;0.2;6.7;492.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Athletic trainers;"=""29-9091""";Line Item;2.5;0.1;7.4;2.7;0.1;7.0;0.2;6.6;493.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Healthcare support occupations;"=""31-0000""";Summary;4.7;0.2;0.1;5.2;0.2;0.1;0.5;10.1;497.0;1;National_Employment_Matrix_IND_710000.csv;;;;
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides";"=""31-1100""";Summary;0.4;0.0;0.0;0.4;0.0;0.0;0.0;6.9;498.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Home health and personal care aides;"=""31-1120""";Line Item;0.4;0.0;0.0;0.4;0.0;0.0;0.0;6.9;499.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Occupational therapy and physical therapist assistants and aides;"=""31-2000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.1;504.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Physical therapist assistants and aides;"=""31-2020""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;4.7;508.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Physical therapist assistants;"=""31-2021""";Line Item;0.1;0.0;0.1;0.1;0.0;0.0;0.0;9.3;509.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Other healthcare support occupations;"=""31-9000""";Summary;4.3;0.2;0.2;4.7;0.2;0.2;0.4;10.5;511.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Massage therapists;"=""31-9011""";Line Item;4.0;0.2;2.7;4.5;0.2;2.6;0.4;10.4;512.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous healthcare support occupations;"=""31-9090""";Summary;0.2;0.0;0.0;0.3;0.0;0.0;0.0;11.8;513.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Veterinary assistants and laboratory animal caretakers;"=""31-9096""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;13.4;519.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Healthcare support workers, all other;"=""31-9099""";Line Item;0.2;0.0;0.2;0.2;0.0;0.2;0.0;11.3;521.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Protective service occupations;"=""33-0000""";Summary;93.3;3.7;2.6;97.0;3.6;2.6;3.8;4.0;522.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Supervisors of protective service workers;"=""33-1000""";Summary;5.8;0.2;1.5;6.0;0.2;1.5;0.2;3.1;523.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous first-line supervisors, protective service workers;"=""33-1090""";Summary;5.8;0.2;6.5;6.0;0.2;6.5;0.2;3.1;528.0;3;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of security workers;"=""33-1091""";Line Item;4.2;0.2;6.2;4.2;0.2;6.0;0.0;1.1;529.0;4;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of protective service workers, all other;"=""33-1099""";Line Item;1.6;0.1;7.7;1.7;0.1;8.1;0.1;8.3;530.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Firefighting and prevention workers;"=""33-2000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.7;531.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Firefighters;"=""33-2011""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.5;532.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Law enforcement workers;"=""33-3000""";Summary;0.2;0.0;0.0;0.2;0.0;0.0;0.0;3.1;536.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Parking enforcement workers;"=""33-3041""";Line Item;0.2;0.0;2.0;0.2;0.0;2.1;0.0;1.6;542.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Other protective service workers;"=""33-9000""";Summary;87.2;3.5;5.1;90.8;3.4;5.1;3.6;4.1;546.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Security guards and gambling surveillance officers;"=""33-9030""";Summary;43.8;1.7;3.5;43.1;1.6;3.4;-0.7;-1.6;549.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Gambling surveillance officers and gambling investigators;"=""33-9031""";Line Item;2.5;0.1;23.0;2.3;0.1;20.6;-0.2;-8.1;550.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Security guards;"=""33-9032""";Line Item;41.3;1.6;3.4;40.8;1.5;3.2;-0.5;-1.2;551.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous protective service workers;"=""33-9090""";Summary;43.3;1.7;10.1;47.6;1.8;10.8;4.3;9.8;552.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Lifeguards, ski patrol, and other recreational protective service workers;"=""33-9092""";Line Item;42.2;1.7;32.7;46.3;1.7;33.6;4.2;9.9;554.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Protective service workers, all other;"=""33-9099""";Line Item;1.1;0.0;1.3;1.2;0.0;1.4;0.1;7.8;557.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Food preparation and serving related occupations;"=""35-0000""";Summary;322.6;12.8;2.4;345.9;13.0;2.4;23.3;7.2;558.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Supervisors of food preparation and serving workers;"=""35-1000""";Summary;30.1;1.2;2.1;32.5;1.2;2.2;2.4;8.0;559.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Chefs and head cooks;"=""35-1011""";Line Item;11.5;0.5;6.1;12.7;0.5;6.3;1.2;10.7;560.0;3;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of food preparation and serving workers;"=""35-1012""";Line Item;18.6;0.7;1.5;19.8;0.7;1.5;1.2;6.3;561.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Cooks and food preparation workers;"=""35-2000""";Summary;65.8;2.6;1.8;71.8;2.7;1.9;6.0;9.2;562.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Cooks;"=""35-2010""";Summary;56.6;2.2;2.1;61.9;2.3;2.1;5.4;9.5;563.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Cooks, fast food;"=""35-2011""";Line Item;2.2;0.1;0.3;2.4;0.1;0.4;0.1;5.1;564.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Cooks, institution and cafeteria;"=""35-2012""";Line Item;3.4;0.1;0.8;3.7;0.1;0.8;0.2;6.8;565.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Cooks, restaurant;"=""35-2014""";Line Item;43.2;1.7;3.0;47.7;1.8;2.8;4.5;10.4;567.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Cooks, short order;"=""35-2015""";Line Item;6.6;0.3;5.1;7.1;0.3;5.7;0.5;7.2;568.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Cooks, all other;"=""35-2019""";Line Item;1.1;0.0;5.5;1.2;0.0;5.6;0.1;6.8;569.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Food preparation workers;"=""35-2021""";Line Item;9.2;0.4;1.0;9.8;0.4;1.1;0.6;7.0;570.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Food and beverage serving workers;"=""35-3000""";Summary;183.8;7.3;2.6;196.0;7.3;2.7;12.1;6.6;571.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Bartenders;"=""35-3011""";Line Item;48.4;1.9;6.6;51.3;1.9;6.4;2.9;6.0;572.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Fast food and counter workers;"=""35-3023""";Line Item;36.8;1.5;1.0;39.9;1.5;1.0;3.0;8.2;573.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Waiters and waitresses;"=""35-3031""";Line Item;90.4;3.6;4.0;96.2;3.6;4.2;5.7;6.3;574.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Food servers, nonrestaurant;"=""35-3041""";Line Item;8.2;0.3;2.9;8.7;0.3;3.0;0.5;5.9;575.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Other food preparation and serving related workers;"=""35-9000""";Summary;43.0;1.7;2.9;45.7;1.7;2.9;2.7;6.3;576.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Dining room and cafeteria attendants and bartender helpers;"=""35-9011""";Line Item;16.3;0.6;3.3;17.3;0.6;3.2;1.0;6.4;577.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Dishwashers;"=""35-9021""";Line Item;13.9;0.6;2.9;14.8;0.6;3.1;0.9;6.1;578.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Hosts and hostesses, restaurant, lounge, and coffee shop;"=""35-9031""";Line Item;10.6;0.4;2.4;11.3;0.4;2.6;0.7;6.5;579.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Food preparation and serving related workers, all other;"=""35-9099""";Line Item;2.2;0.1;2.5;2.3;0.1;2.4;0.1;6.2;580.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Building and grounds cleaning and maintenance occupations;"=""37-0000""";Summary;173.5;6.9;3.1;186.5;7.0;3.2;13.0;7.5;581.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Supervisors of building and grounds cleaning and maintenance workers;"=""37-1000""";Summary;15.6;0.6;3.4;16.7;0.6;3.5;1.1;7.2;582.0;2;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of housekeeping and janitorial workers;"=""37-1011""";Line Item;3.2;0.1;1.3;3.4;0.1;1.4;0.2;6.8;583.0;3;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of landscaping, lawn service, and groundskeeping workers;"=""37-1012""";Line Item;12.3;0.5;5.5;13.2;0.5;5.8;0.9;7.3;584.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Building cleaning and pest control workers;"=""37-2000""";Summary;53.9;2.1;1.4;58.2;2.2;1.5;4.3;8.1;585.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Building cleaning workers;"=""37-2010""";Summary;53.8;2.1;1.4;58.1;2.2;1.5;4.3;8.1;586.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Janitors and cleaners, except maids and housekeeping cleaners;"=""37-2011""";Line Item;45.8;1.8;1.9;49.6;1.9;2.0;3.8;8.4;587.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Maids and housekeeping cleaners;"=""37-2012""";Line Item;7.8;0.3;0.6;8.2;0.3;0.6;0.5;6.1;588.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Building cleaning workers, all other;"=""37-2019""";Line Item;0.2;0.0;1.5;0.2;0.0;1.6;0.0;7.9;589.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Pest control workers;"=""37-2021""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;8.6;590.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Grounds maintenance workers;"=""37-3000""";Summary;104.0;4.1;8.0;111.5;4.2;8.2;7.5;7.2;591.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Landscaping and groundskeeping workers;"=""37-3011""";Line Item;102.4;4.1;8.6;109.8;4.1;8.8;7.4;7.2;592.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Pesticide handlers, sprayers, and applicators, vegetation;"=""37-3012""";Line Item;0.6;0.0;2.1;0.6;0.0;2.1;0.0;6.7;593.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Tree trimmers and pruners;"=""37-3013""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;10.8;594.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Grounds maintenance workers, all other;"=""37-3019""";Line Item;1.0;0.0;7.3;1.1;0.0;7.5;0.1;7.5;595.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Personal care and service occupations;"=""39-0000""";Summary;737.2;29.3;17.0;784.2;29.4;17.0;47.0;6.4;596.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Supervisors of personal care and service workers;"=""39-1000""";Summary;56.2;2.2;18.0;60.1;2.3;17.6;3.9;7.0;597.0;2;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of entertainment and recreation workers;"=""39-1010""";Summary;46.8;1.9;29.9;49.8;1.9;29.4;3.0;6.4;598.0;3;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of gambling services workers;"=""39-1013""";Line Item;6.4;0.3;19.3;5.9;0.2;16.8;-0.5;-8.4;599.0;4;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of entertainment and recreation workers, except gambling services;"=""39-1014""";Line Item;40.4;1.6;32.7;43.9;1.6;32.6;3.5;8.8;600.0;4;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of personal service workers;"=""39-1022""";Line Item;9.4;0.4;6.1;10.4;0.4;6.0;0.9;9.8;601.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Animal care and service workers;"=""39-2000""";Summary;23.8;0.9;5.6;25.9;1.0;5.3;2.1;8.8;602.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Animal trainers;"=""39-2011""";Line Item;3.4;0.1;5.9;3.6;0.1;5.9;0.2;6.2;603.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Animal caretakers;"=""39-2021""";Line Item;20.4;0.8;5.6;22.3;0.8;5.2;1.9;9.2;604.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Entertainment attendants and related workers;"=""39-3000""";Summary;362.8;14.4;56.3;372.2;13.9;55.6;9.4;2.6;605.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Gambling services workers;"=""39-3010""";Summary;36.5;1.4;32.9;33.5;1.3;29.4;-2.9;-8.1;606.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Gambling dealers;"=""39-3011""";Line Item;25.0;1.0;28.8;22.9;0.9;25.5;-2.1;-8.4;607.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Gambling and sports book writers and runners;"=""39-3012""";Line Item;5.9;0.2;61.9;5.5;0.2;58.3;-0.5;-8.1;608.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Gambling service workers, all other;"=""39-3019""";Line Item;5.6;0.2;38.5;5.2;0.2;34.9;-0.4;-6.6;609.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Motion picture projectionists;"=""39-3021""";Line Item;0.3;0.0;13.1;0.4;0.0;15.4;0.0;11.7;610.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Ushers, lobby attendants, and ticket takers;"=""39-3031""";Line Item;36.9;1.5;30.8;37.5;1.4;30.5;0.6;1.7;611.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous entertainment attendants and related workers;"=""39-3090""";Summary;289.2;11.5;70.3;300.8;11.3;69.9;11.7;4.0;612.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Amusement and recreation attendants;"=""39-3091""";Line Item;276.1;11.0;72.4;286.9;10.7;72.0;10.8;3.9;613.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Costume attendants;"=""39-3092""";Line Item;2.9;0.1;44.8;3.1;0.1;44.6;0.2;6.6;614.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Locker room, coatroom, and dressing room attendants;"=""39-3093""";Line Item;6.4;0.3;41.4;6.9;0.3;41.3;0.5;7.6;615.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Entertainment attendants and related workers, all other;"=""39-3099""";Line Item;3.7;0.1;47.0;3.9;0.1;47.6;0.2;6.6;616.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Personal appearance workers;"=""39-5000""";Summary;2.4;0.1;0.2;2.6;0.1;0.2;0.2;9.5;623.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Barbers, hairdressers, hairstylists and cosmetologists;"=""39-5010""";Summary;0.8;0.0;0.1;0.8;0.0;0.1;0.1;9.1;624.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Hairdressers, hairstylists, and cosmetologists;"=""39-5012""";Line Item;0.8;0.0;0.1;0.8;0.0;0.1;0.1;9.1;626.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Miscellaneous personal appearance workers;"=""39-5090""";Summary;1.6;0.1;0.5;1.8;0.1;0.5;0.2;9.7;627.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Makeup artists, theatrical and performance;"=""39-5091""";Line Item;0.4;0.0;5.3;0.4;0.0;5.3;0.0;8.3;628.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Manicurists and pedicurists;"=""39-5092""";Line Item;0.4;0.0;0.2;0.4;0.0;0.2;0.0;9.6;629.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Skincare specialists;"=""39-5094""";Line Item;0.8;0.0;1.0;0.9;0.0;1.0;0.1;10.4;631.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Baggage porters, bellhops, and concierges;"=""39-6000""";Summary;2.3;0.1;3.2;2.4;0.1;3.3;0.2;6.8;632.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Baggage porters and bellhops;"=""39-6011""";Line Item;0.7;0.0;2.4;0.8;0.0;2.6;0.0;6.0;633.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Concierges;"=""39-6012""";Line Item;1.6;0.1;3.7;1.7;0.1;3.8;0.1;7.2;634.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Tour and travel guides;"=""39-7000""";Summary;24.9;1.0;44.1;27.7;1.0;45.0;2.9;11.6;635.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Tour and travel guides;"=""39-7010""";Line Item;24.9;1.0;44.1;27.7;1.0;45.0;2.9;11.6;636.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Other personal care and service workers;"=""39-9000""";Summary;264.8;10.5;14.6;293.1;11.0;15.6;28.3;10.7;637.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Childcare workers;"=""39-9011""";Line Item;28.6;1.1;2.9;31.7;1.2;3.3;3.1;10.9;638.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Recreation and fitness workers;"=""39-9030""";Summary;234.1;9.3;36.0;259.1;9.7;36.3;25.0;10.7;639.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Exercise trainers and group fitness instructors;"=""39-9031""";Line Item;199.5;7.9;57.0;221.5;8.3;55.7;22.0;11.0;640.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Recreation workers;"=""39-9032""";Line Item;34.6;1.4;11.5;37.6;1.4;11.9;3.0;8.6;641.0;4;National_Employment_Matrix_IND_710000.csv;;;;
Personal care and service workers, all other;"=""39-9099""";Line Item;2.1;0.1;2.3;2.3;0.1;2.2;0.2;8.0;643.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Sales and related occupations;"=""41-0000""";Summary;168.8;6.7;1.2;172.8;6.5;1.2;3.9;2.3;644.0;1;National_Employment_Matrix_IND_710000.csv;;;;
Supervisors of sales workers;"=""41-1000""";Summary;12.7;0.5;0.7;13.5;0.5;0.8;0.9;6.9;645.0;2;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of retail sales workers;"=""41-1011""";Line Item;11.3;0.4;0.8;12.0;0.5;0.9;0.8;6.7;646.0;3;National_Employment_Matrix_IND_710000.csv;;;;
First-line supervisors of non-retail sales workers;"=""41-1012""";Line Item;1.4;0.1;0.4;1.5;0.1;0.4;0.1;8.6;647.0;3;National_Employment_Matrix_IND_710000.csv;;;;
Retail sales workers;"=""41-2000""";Summary;122.8;4.9;1.6;124.0;4.6;1.7;1.1;0.9;648.0;2;National_Employment_Matrix_IND_710000.csv;;;;
Cashiers;"=""41-2010""";Summary;60.0;2.4;1.8;56.1;2.1;1.9;-3.9;-6.5;649.0;3;National_Employment_Matrix_IND_710000.csv;;;;
