occupation_title;occupation_code;2023_employment;projected_2033_employment;employment_percent_change_2023-2033;employment_change_2023-2033
Entertainment and recreation managers;"=""11-9070""";3.2;3.4;8.2;0.3
Gambling managers;"=""11-9071""";1.3;1.4;6.7;0.1
Entertainment and recreation managers, except gambling;"=""11-9072""";1.9;2.0;9.2;0.2
Lodging managers;"=""11-9081""";38.8;43.6;12.3;4.8
Property, real estate, and community association managers;"=""11-9141""";1.4;1.5;9.8;0.1
Social and community service managers;"=""11-9151""";0.1;0.2;5.5;0.0
Personal service managers;"=""11-9170""";0.7;0.7;12.0;0.1
Personal service managers, all other;"=""11-9179""";0.7;0.7;12.0;0.1
Managers, all other;"=""11-9199""";3.3;3.6;10.6;0.3
Business and financial operations occupations;"=""13-0000""";38.3;42.8;11.9;4.5
Business operations specialists;"=""13-1000""";28.1;31.4;11.9;3.3
Buyers and purchasing agents;"=""13-1020""";1.7;1.9;17.3;0.3
Compliance officers;"=""13-1041""";0.5;0.5;9.6;0.0
Human resources workers;"=""13-1070""";6.1;6.8;11.5;0.7
Human resources specialists;"=""13-1071""";6.1;6.8;11.6;0.7
Labor relations specialists;"=""13-1075""";0.1;0.1;6.1;0.0
Logisticians and project management specialists;"=""13-1080""";0.9;1.0;11.7;0.1
Project management specialists;"=""13-1082""";0.9;1.0;11.1;0.1
Management analysts;"=""13-1111""";0.3;0.4;11.4;0.0
Meeting, convention, and event planners;"=""13-1121""";8.2;9.2;12.2;1.0
Fundraisers;"=""13-1131""";0.4;0.5;5.7;0.0
Compensation, benefits, and job analysis specialists;"=""13-1141""";0.2;0.2;10.1;0.0
Training and development specialists;"=""13-1151""";0.7;0.8;16.7;0.1
Market research analysts and marketing specialists;"=""13-1161""";5.1;5.7;11.2;0.6
Business operations specialists, all other;"=""13-1199""";4.0;4.4;11.1;0.4
Financial specialists;"=""13-2000""";10.2;11.4;11.7;1.2
Accountants and auditors;"=""13-2011""";9.1;10.1;11.8;1.1
Budget analysts;"=""13-2031""";0.5;0.6;12.7;0.1
Financial analysts and advisors;"=""13-2050""";0.5;0.5;11.4;0.1
Financial and investment analysts;"=""13-2051""";0.4;0.5;11.6;0.0
Financial risk specialists;"=""13-2054""";0.1;0.1;10.2;0.0
Financial specialists, all other;"=""13-2099""";0.1;0.1;10.1;0.0
Computer and mathematical occupations;"=""15-0000""";4.1;4.4;7.1;0.3
Computer occupations;"=""15-1200""";4.0;4.2;6.6;0.3
Computer and information analysts;"=""15-1210""";0.5;0.6;13.3;0.1
Computer systems analysts;"=""15-1211""";0.4;0.5;11.2;0.0
Information security analysts;"=""15-1212""";0.1;0.1;30.7;0.0
Computer support specialists;"=""15-1230""";1.6;1.7;5.2;0.1
Computer network support specialists;"=""15-1231""";0.3;0.3;10.4;0.0
Computer user support specialists;"=""15-1232""";1.4;1.4;4.2;0.1
Database and network administrators and architects;"=""15-1240""";1.1;1.1;2.1;0.0
Database administrators;"=""15-1242""";0.1;0.1;10.4;0.0
Network and computer systems administrators;"=""15-1244""";0.9;0.9;0.1;0.0
Software and web developers, programmers, and testers;"=""15-1250""";0.4;0.4;13.2;0.1
Software developers;"=""15-1252""";0.3;0.3;16.6;0.0
Web and digital interface designers;"=""15-1255""";0.1;0.1;9.9;0.0
Computer occupations, all other;"=""15-1299""";0.4;0.4;10.4;0.0
Mathematical science occupations;"=""15-2000""";0.1;0.1;27.9;0.0
Architecture and engineering occupations;"=""17-0000""";0.9;1.0;13.4;0.1
Engineers;"=""17-2000""";0.9;1.0;13.4;0.1
Civil engineers;"=""17-2051""";0.8;0.9;12.7;0.1
Mechanical engineers;"=""17-2141""";0.1;0.1;21.6;0.0
Life, physical, and social science occupations;"=""19-0000""";0.1;0.2;18.6;0.0
Occupational health and safety specialists and technicians;"=""19-5000""";0.1;0.1;21.1;0.0
Occupational health and safety specialists;"=""19-5011""";0.1;0.1;22.4;0.0
Community and social service occupations;"=""21-0000""";0.4;0.4;6.8;0.0
Counselors, social workers, and other community and social service specialists;"=""21-1000""";0.3;0.4;6.8;0.0
Counselors;"=""21-1010""";0.2;0.2;6.9;0.0
Educational, guidance, and career counselors and advisors;"=""21-1012""";0.1;0.1;5.6;0.0
Miscellaneous community and social service specialists;"=""21-1090""";0.1;0.1;8.1;0.0
Community and social service specialists, all other;"=""21-1099""";0.1;0.1;9.0;0.0
Religious workers;"=""21-2000""";0.1;0.1;6.8;0.0
Legal occupations;"=""23-0000""";0.1;0.1;8.1;0.0
Lawyers, judges, and related workers;"=""23-1000""";0.1;0.1;10.2;0.0
Lawyers and judicial law clerks;"=""23-1010""";0.1;0.1;10.2;0.0
Lawyers;"=""23-1011""";0.1;0.1;10.2;0.0
Educational instruction and library occupations;"=""25-0000""";2.1;2.3;9.0;0.2
Other teachers and instructors;"=""25-3000""";1.9;2.1;9.0;0.2
Self-enrichment teachers;"=""25-3021""";1.8;1.9;9.4;0.2
Teachers and instructors, all other;"=""25-3099""";0.1;0.2;5.7;0.0
Other educational instruction and library occupations;"=""25-9000""";0.1;0.1;6.3;0.0
Instructional coordinators;"=""25-9031""";0.1;0.1;6.3;0.0
Arts, design, entertainment, sports, and media occupations;"=""27-0000""";5.3;5.8;8.5;0.4
Art and design workers;"=""27-1000""";0.6;0.7;9.2;0.1
Designers;"=""27-1020""";0.6;0.6;9.1;0.1
Floral designers;"=""27-1023""";0.1;0.2;4.5;0.0
Graphic designers;"=""27-1024""";0.3;0.3;10.2;0.0
Interior designers;"=""27-1025""";0.1;0.1;12.8;0.0
Entertainers and performers, sports and related workers;"=""27-2000""";1.4;1.6;12.2;0.2
Actors, producers, and directors;"=""27-2010""";0.4;0.4;11.9;0.0
Actors;"=""27-2011""";0.2;0.2;12.8;0.0
Producers and directors;"=""27-2012""";0.2;0.2;10.7;0.0
Athletes, coaches, umpires, and related workers;"=""27-2020""";0.6;0.6;12.4;0.1
Coaches and scouts;"=""27-2022""";0.5;0.6;12.7;0.1
Dancers and choreographers;"=""27-2030""";0.1;0.1;11.6;0.0
Dancers;"=""27-2031""";0.1;0.1;11.6;0.0
Musicians, singers, and related workers;"=""27-2040""";0.1;0.1;12.8;0.0
Musicians and singers;"=""27-2042""";0.1;0.1;12.8;0.0
Miscellaneous entertainers and performers, sports and related workers;"=""27-2090""";0.4;0.4;12.3;0.0
Entertainers and performers, sports and related workers, all other;"=""27-2099""";0.4;0.4;12.3;0.0
Media and communication workers;"=""27-3000""";1.0;1.1;9.9;0.1
Public relations specialists;"=""27-3031""";1.0;1.1;10.1;0.1
Media and communication equipment workers;"=""27-4000""";2.2;2.3;5.1;0.1
Broadcast, sound, and lighting technicians;"=""27-4010""";2.0;2.1;4.7;0.1
Audio and video technicians;"=""27-4011""";1.3;1.4;8.7;0.1
Photographers;"=""27-4021""";0.1;0.1;12.4;0.0
Media and communication equipment workers, all other;"=""27-4099""";0.2;0.2;7.3;0.0
Healthcare practitioners and technical occupations;"=""29-0000""";0.4;0.5;8.5;0.0
Healthcare diagnosing or treating practitioners;"=""29-1000""";0.3;0.3;8.7;0.0
Therapists;"=""29-1120""";0.1;0.1;9.9;0.0
Registered nurses;"=""29-1141""";0.1;0.1;7.0;0.0
Health technologists and technicians;"=""29-2000""";0.2;0.2;8.2;0.0
Emergency medical technicians and paramedics;"=""29-2040""";0.2;0.2;8.4;0.0
Emergency medical technicians;"=""29-2042""";0.1;0.2;8.2;0.0
Healthcare support occupations;"=""31-0000""";9.0;12.0;32.3;2.9
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides";"=""31-1100""";0.1;0.1;1.3;0.0
Home health and personal care aides;"=""31-1120""";0.1;0.1;0.9;0.0
Other healthcare support occupations;"=""31-9000""";9.0;11.9;32.6;2.9
Massage therapists;"=""31-9011""";8.9;11.8;32.7;2.9
Protective service occupations;"=""33-0000""";44.0;46.7;6.0;2.7
Supervisors of protective service workers;"=""33-1000""";4.5;4.8;5.2;0.2
Miscellaneous first-line supervisors, protective service workers;"=""33-1090""";4.5;4.8;5.2;0.2
First-line supervisors of security workers;"=""33-1091""";4.0;4.1;4.4;0.2
First-line supervisors of protective service workers, all other;"=""33-1099""";0.6;0.6;10.7;0.1
Other protective service workers;"=""33-9000""";39.5;41.9;6.1;2.4
Security guards and gambling surveillance officers;"=""33-9030""";30.8;32.3;4.6;1.4
Gambling surveillance officers and gambling investigators;"=""33-9031""";1.9;2.0;6.7;0.1
Security guards;"=""33-9032""";28.9;30.2;4.5;1.3
Miscellaneous protective service workers;"=""33-9090""";8.6;9.6;11.5;1.0
Lifeguards, ski patrol, and other recreational protective service workers;"=""33-9092""";8.2;9.2;11.6;1.0
Protective service workers, all other;"=""33-9099""";0.4;0.4;9.2;0.0
Food preparation and serving related occupations;"=""35-0000""";434.8;484.2;11.4;49.4
Supervisors of food preparation and serving workers;"=""35-1000""";43.6;48.8;11.8;5.2
Chefs and head cooks;"=""35-1011""";17.7;19.8;11.6;2.1
First-line supervisors of food preparation and serving workers;"=""35-1012""";25.9;29.0;12.0;3.1
Cooks and food preparation workers;"=""35-2000""";92.3;106.8;15.6;14.4
Cooks;"=""35-2010""";78.5;91.3;16.4;12.9
Cooks, fast food;"=""35-2011""";0.5;0.6;9.8;0.0
Cooks, institution and cafeteria;"=""35-2012""";6.1;6.7;10.2;0.6
Cooks, restaurant;"=""35-2014""";68.7;80.6;17.3;11.9
Cooks, short order;"=""35-2015""";1.8;2.0;11.0;0.2
Cooks, all other;"=""35-2019""";1.4;1.5;7.7;0.1
Food preparation workers;"=""35-2021""";13.9;15.4;11.3;1.6
Food and beverage serving workers;"=""35-3000""";200.0;218.3;9.1;18.3
Bartenders;"=""35-3011""";42.7;47.2;10.4;4.5
Fast food and counter workers;"=""35-3023""";14.6;16.2;11.5;1.7
Waiters and waitresses;"=""35-3031""";124.6;139.2;11.8;14.7
Food servers, nonrestaurant;"=""35-3041""";18.1;15.6;-13.8;-2.5
Other food preparation and serving related workers;"=""35-9000""";98.8;110.4;11.7;11.6
Dining room and cafeteria attendants and bartender helpers;"=""35-9011""";52.3;58.5;11.8;6.2
Dishwashers;"=""35-9021""";23.2;25.9;11.6;2.7
Hosts and hostesses, restaurant, lounge, and coffee shop;"=""35-9031""";18.7;20.8;11.7;2.2
Food preparation and serving related workers, all other;"=""35-9099""";4.7;5.2;10.9;0.5
Building and grounds cleaning and maintenance occupations;"=""37-0000""";509.4;509.2;0.0;-0.1
Supervisors of building and grounds cleaning and maintenance workers;"=""37-1000""";41.7;46.8;12.2;5.1
First-line supervisors of housekeeping and janitorial workers;"=""37-1011""";39.6;44.4;12.3;4.9
First-line supervisors of landscaping, lawn service, and groundskeeping workers;"=""37-1012""";2.1;2.3;11.2;0.2
Building cleaning and pest control workers;"=""37-2000""";450.7;443.7;-1.5;-7.0
Building cleaning workers;"=""37-2010""";450.7;443.7;-1.5;-7.0
Janitors and cleaners, except maids and housekeeping cleaners;"=""37-2011""";42.7;46.9;10.0;4.3
Maids and housekeeping cleaners;"=""37-2012""";406.5;395.2;-2.8;-11.4
Building cleaning workers, all other;"=""37-2019""";1.5;1.6;10.2;0.1
Grounds maintenance workers;"=""37-3000""";17.0;18.8;10.2;1.7
Landscaping and groundskeeping workers;"=""37-3011""";16.1;17.7;10.2;1.6
Pesticide handlers, sprayers, and applicators, vegetation;"=""37-3012""";0.2;0.3;12.7;0.0
Grounds maintenance workers, all other;"=""37-3019""";0.7;0.8;10.2;0.1
Personal care and service occupations;"=""39-0000""";120.4;126.9;5.4;6.5
Supervisors of personal care and service workers;"=""39-1000""";15.9;17.2;8.1;1.3
First-line supervisors of entertainment and recreation workers;"=""39-1010""";13.6;14.7;7.7;1.0
First-line supervisors of gambling services workers;"=""39-1013""";9.5;10.2;6.7;0.6
First-line supervisors of entertainment and recreation workers, except gambling services;"=""39-1014""";4.1;4.5;9.9;0.4
First-line supervisors of personal service workers;"=""39-1022""";2.2;2.5;10.6;0.2
Animal care and service workers;"=""39-2000""";0.6;0.7;9.2;0.1
Animal trainers;"=""39-2011""";0.1;0.1;8.4;0.0
Animal caretakers;"=""39-2021""";0.6;0.6;9.3;0.1
Entertainment attendants and related workers;"=""39-3000""";56.0;60.7;8.4;4.7
Gambling services workers;"=""39-3010""";34.2;36.5;6.7;2.3
Gambling dealers;"=""39-3011""";31.4;33.5;6.7;2.1
Gambling and sports book writers and runners;"=""39-3012""";1.1;1.2;6.7;0.1
Gambling service workers, all other;"=""39-3019""";1.7;1.8;6.8;0.1
Ushers, lobby attendants, and ticket takers;"=""39-3031""";2.6;2.9;10.5;0.3
Miscellaneous entertainment attendants and related workers;"=""39-3090""";19.3;21.4;11.0;2.1
Amusement and recreation attendants;"=""39-3091""";15.8;17.5;10.9;1.7
Costume attendants;"=""39-3092""";0.3;0.3;7.4;0.0
Locker room, coatroom, and dressing room attendants;"=""39-3093""";2.8;3.1;12.1;0.3
Entertainment attendants and related workers, all other;"=""39-3099""";0.4;0.4;8.1;0.0
Personal appearance workers;"=""39-5000""";4.3;4.8;12.0;0.5
Barbers, hairdressers, hairstylists and cosmetologists;"=""39-5010""";0.9;1.0;11.7;0.1
Hairdressers, hairstylists, and cosmetologists;"=""39-5012""";0.9;1.0;11.7;0.1
Miscellaneous personal appearance workers;"=""39-5090""";3.4;3.8;12.1;0.4
Manicurists and pedicurists;"=""39-5092""";1.2;1.3;12.0;0.1
Skincare specialists;"=""39-5094""";2.2;2.5;12.2;0.3
Baggage porters, bellhops, and concierges;"=""39-6000""";25.0;23.3;-6.8;-1.7
Baggage porters and bellhops;"=""39-6011""";17.5;17.4;-0.9;-0.2
Concierges;"=""39-6012""";7.5;5.9;-20.7;-1.5
Tour and travel guides;"=""39-7000""";1.7;1.8;9.9;0.2
Tour and travel guides;"=""39-7010""";1.7;1.8;9.9;0.2
Other personal care and service workers;"=""39-9000""";16.9;18.4;8.8;1.5
Exercise trainers and group fitness instructors;"=""39-9031""";1.7;1.9;12.4;0.2
Residential advisors;"=""39-9041""";1.3;1.3;1.0;0.0
Sales and related occupations;"=""41-0000""";51.6;54.9;6.5;3.3
Supervisors of sales workers;"=""41-1000""";3.9;4.3;11.2;0.4
First-line supervisors of retail sales workers;"=""41-1011""";2.4;2.7;10.7;0.3
First-line supervisors of non-retail sales workers;"=""41-1012""";1.5;1.7;11.8;0.2
Retail sales workers;"=""41-2000""";22.1;22.7;2.6;0.6
Cashiers;"=""41-2010""";13.0;12.6;-3.0;-0.4
Cashiers;"=""41-2011""";9.2;8.7;-4.8;-0.4
Gambling change persons and booth cashiers;"=""41-2012""";3.8;3.9;1.4;0.1
Counter and rental clerks and parts salespersons;"=""41-2020""";1.5;1.6;9.2;0.1
Counter and rental clerks;"=""41-2021""";1.5;1.6;9.2;0.1
Retail salespersons;"=""41-2031""";7.7;8.5;10.9;0.8
Sales representatives, services;"=""41-3000""";23.9;26.1;9.2;2.2
Travel agents;"=""41-3041""";0.6;0.7;12.6;0.1
Sales representatives of services, except advertising, insurance, financial services, and travel;"=""41-3091""";23.3;25.4;9.1;2.1
Sales representatives, wholesale and manufacturing;"=""41-4000""";0.5;0.5;8.7;0.0
Sales representatives, wholesale and manufacturing, except technical and scientific products;"=""41-4012""";0.5;0.5;8.7;0.0
Other sales and related workers;"=""41-9000""";1.2;1.2;6.8;0.1
Models, demonstrators, and product promoters;"=""41-9010""";0.1;0.2;12.0;0.0
Demonstrators and product promoters;"=""41-9011""";0.1;0.2;12.0;0.0
Real estate brokers and sales agents;"=""41-9020""";0.2;0.2;8.7;0.0
Real estate sales agents;"=""41-9022""";0.1;0.1;7.2;0.0
Telemarketers;"=""41-9041""";0.2;0.2;-10.7;0.0
Miscellaneous sales and related workers;"=""41-9090""";0.6;0.7;11.7;0.1
Sales and related workers, all other;"=""41-9099""";0.6;0.7;11.7;0.1
Office and administrative support occupations;"=""43-0000""";362.0;380.3;5.1;18.3
Supervisors of office and administrative support workers;"=""43-1000""";38.5;38.8;0.8;0.3
First-line supervisors of office and administrative support workers;"=""43-1011""";38.5;38.8;0.8;0.3
Communications equipment operators;"=""43-2000""";3.0;2.3;-21.6;-0.6
Switchboard operators, including answering service;"=""43-2011""";2.4;1.9;-21.7;-0.5
Telephone operators;"=""43-2021""";0.5;0.4;-21.5;-0.1
Financial clerks;"=""43-3000""";24.1;24.2;0.3;0.1
Bill and account collectors;"=""43-3011""";0.1;0.1;0.8;0.0
Billing and posting clerks;"=""43-3021""";0.2;0.2;0.1;0.0
Bookkeeping, accounting, and auditing clerks;"=""43-3031""";18.7;18.8;0.6;0.1
Gambling cage workers;"=""43-3041""";3.4;3.4;1.4;0.0
Payroll and timekeeping clerks;"=""43-3051""";0.9;0.8;-10.7;-0.1
Procurement clerks;"=""43-3061""";0.6;0.6;0.9;0.0
Financial clerks, all other;"=""43-3099""";0.1;0.1;8.4;0.0
Information and record clerks;"=""43-4000""";272.6;290.8;6.7;18.1
Customer service representatives;"=""43-4051""";8.0;7.9;-0.4;0.0
Hotel, motel, and resort desk clerks;"=""43-4081""";253.8;271.8;7.1;18.0
Interviewers, except eligibility and loan;"=""43-4111""";0.1;0.1;-4.1;0.0
Order clerks;"=""43-4151""";0.2;0.2;-9.9;0.0
Human resources assistants, except payroll and timekeeping;"=""43-4161""";0.8;0.8;-1.0;0.0
Receptionists and information clerks;"=""43-4171""";4.4;4.5;2.1;0.1
Reservation and transportation ticket agents and travel clerks;"=""43-4181""";5.0;5.1;2.3;0.1
Information and record clerks, all other;"=""43-4199""";0.3;0.3;10.5;0.0
Material recording, scheduling, dispatching, and distributing workers;"=""43-5000""";4.1;4.3;3.3;0.1
Couriers and messengers;"=""43-5021""";0.2;0.2;11.6;0.0
Dispatchers;"=""43-5030""";1.3;1.4;4.1;0.1
Dispatchers, except police, fire, and ambulance;"=""43-5032""";1.3;1.4;4.1;0.1
Production, planning, and expediting clerks;"=""43-5061""";0.6;0.7;11.7;0.1
Shipping, receiving, and inventory clerks;"=""43-5071""";2.0;2.0;-0.6;0.0
Secretaries and administrative assistants;"=""43-6000""";9.1;9.6;5.5;0.5
Executive secretaries and executive administrative assistants;"=""43-6011""";1.7;1.8;5.3;0.1
Secretaries and administrative assistants, except legal, medical, and executive;"=""43-6014""";7.4;7.9;5.6;0.4
Other office and administrative support workers;"=""43-9000""";10.6;10.4;-1.9;-0.2
Data entry and information processing workers;"=""43-9020""";0.2;0.2;-21.8;0.0
Data entry keyers;"=""43-9021""";0.2;0.2;-21.8;0.0
Mail clerks and mail machine operators, except postal service;"=""43-9051""";0.1;0.1;-2.0;0.0
Office clerks, general;"=""43-9061""";9.7;9.5;-1.4;-0.1
Office and administrative support workers, all other;"=""43-9199""";0.5;0.5;-3.3;0.0
Farming, fishing, and forestry occupations;"=""45-0000""";1.5;1.5;3.4;0.0
Supervisors of farming, fishing, and forestry workers;"=""45-1000""";0.2;0.2;8.1;0.0
First-line supervisors of farming, fishing, and forestry workers;"=""45-1011""";0.2;0.2;8.1;0.0
Agricultural workers;"=""45-2000""";1.2;1.2;2.8;0.0
Miscellaneous agricultural workers;"=""45-2090""";1.2;1.2;2.8;0.0
Farmworkers and laborers, crop, nursery, and greenhouse;"=""45-2092""";0.1;0.1;4.8;0.0
Farmworkers, farm, ranch, and aquacultural animals;"=""45-2093""";1.0;1.1;2.5;0.0
Construction and extraction occupations;"=""47-0000""";4.9;5.4;10.4;0.5
Supervisors of construction and extraction workers;"=""47-1000""";0.3;0.3;11.1;0.0
First-line supervisors of construction trades and extraction workers;"=""47-1011""";0.3;0.3;11.1;0.0
Construction trades workers;"=""47-2000""";4.6;5.1;10.4;0.5
Carpenters;"=""47-2031""";1.0;1.1;8.8;0.1
Carpet, floor, and tile installers and finishers;"=""47-2040""";0.1;0.1;0.4;0.0
Carpet installers;"=""47-2041""";0.1;0.1;-7.8;0.0
Construction laborers;"=""47-2061""";0.1;0.1;9.0;0.0
Construction equipment operators;"=""47-2070""";0.2;0.2;11.9;0.0
Operating engineers and other construction equipment operators;"=""47-2073""";0.2;0.2;11.9;0.0
Electricians;"=""47-2111""";0.8;0.9;11.3;0.1
Painters and paperhangers;"=""47-2140""";2.0;2.3;11.3;0.2
Painters, construction and maintenance;"=""47-2141""";2.0;2.2;11.3;0.2
Pipelayers, plumbers, pipefitters, and steamfitters;"=""47-2150""";0.4;0.4;10.6;0.0
Plumbers, pipefitters, and steamfitters;"=""47-2152""";0.4;0.4;10.6;0.0
Installation, maintenance, and repair occupations;"=""49-0000""";115.9;128.9;11.2;13.0
Supervisors of installation, maintenance, and repair workers;"=""49-1000""";11.1;12.3;11.6;1.3
First-line supervisors of mechanics, installers, and repairers;"=""49-1011""";11.1;12.3;11.6;1.3
Electrical and electronic equipment mechanics, installers, and repairers;"=""49-2000""";0.2;0.2;8.6;0.0
